LANG_CODE,పుస్తకం పేరు,బుక్ నేమ్,రచయిత,పబ్లిషర్,PLACE_OF_PUB,PAGINATION,ITEM_RUPEES,YEAR_OF_PUB,BINDING,ISBN,References
TEL,నవోదయం,"నవోదయ, విజయవాడM",GANGAPPA S,SASI PRACHURANALU,GUNTUR,894,75,1990,,,https://manjulindia.com/telugu.html
TEL,వేయి పడగలు,VAYI PADAGALU,GANGAPPA S,SASI PRACHURANALU,GUNTUR,894,112,,,,https://manjulindia.com/telugu.html
TEL,తెలుగు నాటకం,TELUGU NATAKAM,GANGAPPA S,SASI PRACHURANALU,GUNTUR,894,176,,,,https://manjulindia.com/telugu.html
TEL,సాహిత్య సుధ,SAHITYA SUDHA,GANGAPPA S,SASI PRACHURANALU,GUNTUR,894,182,,,,https://manjulindia.com/telugu.html
TEL,బూర్జువాపెళ్ళి కూతురు,BURJUVAPELLI KUTHURU,రండి సోమరాజు SOMARAJU RANDI,SASIDHAR PUBLICATIONS,RAJAHMUNDRY,894,53,1950,,,https://manjulindia.com/telugu.html
TEL,పోర్టు,PORTU,SOMARAJU RANDI,SASIDHAR PUBLICATIONS,RAJAHMUNDRY,894,54,1950,,,https://manjulindia.com/telugu.html
TEL,ఎదగాలి,EDHAGAALI,SOMARAAU RAMDHI,SASIDHAR PUBLICATIONS,RAJAMUNDRY,894,74,1989,,,https://manjulindia.com/telugu.html
TEL,హింధుస్థానితెనుగుబోధిని,HINDUSTHANI THENUGUBODHINI,SASTRI MLN,SASTHRI AND CO,RAJAHMUNDRY,894,64,1971,,,https://manjulindia.com/telugu.html
TEL,అమరవాణి,AMARAVANI,VENKATACHARYULU N C S,SASTRA RATNAMALA,ELURU,894,235,,,,https://manjulindia.com/telugu.html
TEL,హర్ష వర్ధనుడు,HARSHA VARDHANUDU,RAGHAVACHARYULU KITHAMBI,SASTRA VIGNANAMU CHARITRA TELUGU URDU ACKADAMY,HYDERABAD,923,158,,,,https://manjulindia.com/telugu.html
TEL,బష్పాంజలి,BASHPANJALI,నృసింహరాజు వెంకటలక్ష్మి VENKATALAXMI NRUSIMHARAJU,SASTRI AND CO,TENALI,894,30,1915,,,https://manjulindia.com/telugu.html
TEL,అమృతో దయము,AMRUTHODAYAMU,SUBRAHAMANYAM VAJAPEYI,SASTRI AND CO,RAJAHMUNDRY,894,70,1983,,,https://manjulindia.com/telugu.html
TEL,చెన్న పట్నం తెలుగు వారిధే,CHENNAPATNAM TELUGU VAARIDHE,మల్లాది లక్ష్మినరసింహ శాస్త్రి LAXMINARASIMHASASTRY MALLADI,SASTRI AND CO,RAJAHMUNDRY,954,88,2021,,MANIMN2507,https://manjulindia.com/telugu.html
TEL,గౌడవంశోతృతీ మార్తాండమ్,GOUDAVAMSOTRUTHI MARTHANDAM,SUBBARAO MARGANI,SASTRI AND CO,RAJAHMUNDRY,306,263,,,,https://manjulindia.com/telugu.html
TEL,అమరవాణి ప్రసారములు (రేడియో ప్రసంగములు వ్యాసముల సంపుటి ),AMARAVANI PRASARAMULU (REDIYO PRASANGAMULU VYSAMULU SAPUTI ),VENKATACHARYULU NCS,SASTRI RATNAMALA,ELURU,80,235,,,,https://manjulindia.com/telugu.html
TEL,జీవవికాసం,JIVAVIKASAM,BHANUMURTHI VEMARAJU,SASTRSAHITY TANAM,HYDEABAD,590,98,,,,https://manjulindia.com/telugu.html
TEL,వైదిక వివాహ తత్వ ప్రకాశిక,VAIDIKA VIVAHATATVA PRAKASIKA,పి.ఎస్.ఆచార్య PS ACHARYA,SAT PUROHIT SANGHAM,KUNDERU,294,356,,,,https://manjulindia.com/telugu.html
TEL,ప్రహ్లాద చంద్రుడు,PRAHLADA CHANDRUDU,CHENNAYYYA J,SATAVADHANI DOMA VENKATASWAMI,KADAPA,894,172,,,,https://manjulindia.com/telugu.html
TEL,వేలూరి శివరామశాస్త్రి కృతులు సమీక్ష,VELURI SIVARAMASASTRI KRUTULU SAMIKSHA,SANKARAYYA JANDYALA,SATAVAHANA KALASALA,VIJAYAWADA,894,375,,,,https://manjulindia.com/telugu.html
TEL,ద్రద భాష,DRADA BHASHA,GEETHA K,SATSA PRACHURANALU,HYDEARABAD,894,140,,,,https://manjulindia.com/telugu.html
TEL,శ్రీ మద్భాగవత రహస్యము,SRI MADBHAGAVATA RAHASYAMU,RAMACHARYULU NEMALIKONDA,SATSANGA SADANAMU,SIRISILLA,927,307,,,,https://manjulindia.com/telugu.html
TEL,శ్రీ మద్భాగవత చతుర్ధ పంచమ షష్టమ సప్తమ అష్టమ సంగ్రహము,SRI MADBHAGAVATA CHATURDHA PANCHAMA SHASHTAMA SAPTAMA ASTHAMA SANGHRAMU,RAMACHARYULU NEMALIKONDA,SATSANGA SADANAMU,SIRISILLA,894,325,,,,https://manjulindia.com/telugu.html
TEL,శివ రహస్య ఖండము,SHIVA RAHASYA KHANDAMU,కోడూరి వెంకటచల కవి VENKATACHALA KAVI KODURI,SATTIRAJU SITHARAMAYYA,ELURU,894,157,,,,https://manjulindia.com/telugu.html
TEL,సంగీత కనకతార,SANGEETA KANAKATARA,బల్లా స్వామి BALLA SWAMI,SATU BOOK DEPOT,RAJAHAMANDRY,894,94,,,,https://manjulindia.com/telugu.html
TEL,మహా సంకల్పం వచన కవిత సంకలనం 1940-1975,MAHA SANKALPAM VACHANA KAVITHA SANKALANAM 1940-1975,రామమోహన్ RAMAMOHANRAO NANDHURI,SATYA BHARATHI,VIJAYAWADA,894,214,,,,https://manjulindia.com/telugu.html
TEL,హోమియోపతి వైద్య రహస్యము,HOMIYOPATHI VAIDYA RAHASYAMU,NARAYANARAO BL,SATYA HOMIYO PUBLISHERS,VISAKHAPATNAM,615,48,1945,,,https://manjulindia.com/telugu.html
TEL,మాధురి చికిత్స,MADHURI CHIKITSA,బ్రహ్మానంద BRAHMANANDAJYOSULU PENDYALA,SATYA HOMIYO PUBLISHERS,VISAKHAPATNAM,615,67,1979,,,https://manjulindia.com/telugu.html
TEL,హోమియోపతి మాతృ ద్రావకముల మహిమ,HOMIYOPATHI MATRU DRAVAKAMULA MAHIMA,LAXMINARASIMHARAO LANKA,SATYA HOMIYO PUBLISHERS,VISAKHAPATNAM,615,74,1990,,,https://manjulindia.com/telugu.html
TEL,మెడికల్ ప్రాక్టిషనరు,MEDICAL PRACTISHIONAR,NARAYANARAO B L,SATYA HOMIYO PUBLISHERS,VISAKHAPATNAM,615,78,1996,,,https://manjulindia.com/telugu.html
TEL,హోమియోపతిలో దేశీయ ఔషదములు,HOMIYOPATHI LO DESIYA OWSHADAMULU,RAJAGOPALARAO PEDDABOTLA,SATYA HOMIYO PUBLISHERS,VISAKHAPATNAM,615,79,1998,,,https://manjulindia.com/telugu.html
TEL,అజీర్ణము,AJEERNAMU,KAMఈశ్వరరావు ESWARARAO TALLAPRAGADA,SATYA HOMIYO PUBLISHERS,VISAKHAPATNAM,615,129,,,,https://manjulindia.com/telugu.html
TEL,హోమియో చికిత్స పరిచయ గ్రంధము,HOMIYO CHIKITSA PARICHAYA GRANDHAMU,RAJAGOPALARAO PEDDIBHOTLA,SATYA HOMIYO PUBLISHERS,VISAKHAPATNAM,615,194,,,,https://manjulindia.com/telugu.html
TEL,సుఖరోగములు,SUKHA ROGAMULU,KAMఈశ్వరరావు ESWARARAO TALLPRAGADA,SATYA HOMIYO PUBLISHERS,VISAKHAPATNAM,615,195,,,,https://manjulindia.com/telugu.html
TEL,స్త్రీల ఋతు రోగములు,STREELA RUTHU ROGAMULU,KAMఈశ్వరరావు ESWARARAO THALLAPRAGADA,SATYA HOMIYO PUBLISHERS,VISAKHAPATNAM,615,224,,,,https://manjulindia.com/telugu.html
TEL,బాల రోగములు చికిత్స,BALA ROGAMULU CHIKITSA,KAMఈశ్వరరావు ESWARARAO TALLAPRAGADA,SATYA HOMIYO PUBLISHERS,VISAKHAPATNAM,615,242,,,,https://manjulindia.com/telugu.html
TEL,అనుభవ హోమియోపతి వైద్య చింతామణి,ANUBHAVA HOMIYOPATHI VAIDYA CHINTHAMANI,NARAYANARAO BL,SATYA HOMIYO PUBLISHERS,VISAKHAPATNAM,615,274,,,,https://manjulindia.com/telugu.html
TEL,హోమియో థెరప్యూటిక్స్,HOMIYO THERAPYUTICS,LAXMINARASIMHARAO LANKA,SATYA HOMIYO PUBLISHERS,VISAKHAPATNAM,615,364,,,,https://manjulindia.com/telugu.html
TEL,సారూప్యషధ శాస్త్ర సారము,SARUPYAOUSHADHA SASTRA SARAMU,GANAPATHIRAO YANAMANDRA,SATYA HOMIYO PUBLISHERS,VISAKHAPATNAM,615,667,,,,https://manjulindia.com/telugu.html
TEL,పడవ ప్రయాణం,PADAVA PRAYANAM,PADMARAJU PALAGUMMI,SATYA PUBLICATIONS,మద్రాస్,894,239,,,,https://manjulindia.com/telugu.html
TEL,సందేహ నివారిణి,SANDEHA NIVARINI,SATYASAI BABA,SATYA SAI EDUCATION FOUNDATION,PRASANTHINILAYAM,294,150,,,,https://manjulindia.com/telugu.html
TEL,సాహితి వల్లరి,SAHITHI VALLARI,KANTALAKSHMI IV,SATYA SUMITRA SANKARA ADHYATHMIKA PRACHUYRANALMALA,HYDERABAD,894,64,1970,,,https://manjulindia.com/telugu.html
TEL,గతం - స్వగతం,GATHAM- SWAGATHAM,UPENDRA,SATYAM DEEMA PRACHURANALU,SECUNDERABAD,923,20,1909,,,https://manjulindia.com/telugu.html
TEL,ఆమె,AME,SRINIVASA,SATYAMEDIA HOUSE,HYDRABAD,808,130,,,,https://manjulindia.com/telugu.html
TEL,కుక్కుట శాస్త్రం,KUKKUTA SASTRAM,నేదునూరి గంగాధరం GANGADARAM NEDUNOORI,SATYAMNARAYANA,RAJAMANDRI,894,52,1949,,,https://manjulindia.com/telugu.html
TEL,గీతార్ధ సారాకీర్తనము,GETARDHA SAARAKEERTANAMU,SATYAVATAMMA AACHANTA,SATYANARAYANA BOOK DEPO,RAJAHMUNDRY,894,20,1910,,,https://manjulindia.com/telugu.html
TEL,ఖండ కావ్యము మూడవ భాగము,KHANDA KAVYAMU MUDAVA BHAGAMU,జి.జాషువాకవి JAGAVAKAVI G,SATYANARAYANA BOOK DEPO,RAJAHMUNDRY,894,30,1915,,,https://manjulindia.com/telugu.html
TEL,బాపూజీ,BAPUJI,జి.జాషువాకవి జాషుకవి JASHUVAKAVI G,SATYANARAYANA BOOK DEPO,RAJAHMUNDRY,894,48,1941,,,https://manjulindia.com/telugu.html
TEL,కాంతం,KANTHAM,మునిమాణిక్యం నరసింహరావు NARSMIHA RAO MUNI MANIKYAM,SATYANARAYANA BOOK DEPO,RAJAMUNDRY,374,82,2008,,,https://manjulindia.com/telugu.html
TEL,గృహలక్ష్మి,GRUHALAKSHMI,LAKSHMI NARASIMHASWAMI KAVVAVI,SATYANARAYANA BOOK DEPO,RAJHAMUNDRY,894,88,22-Feb,Paperback,9789391242268,https://manjulindia.com/telugu.html
TEL,మునిమాణిక్యం నాటి కథలు,MUNIMANIKYAM NAATI KATHALU,మునిమాణిక్యం నరసింహరావు MUNIMANIKYAM NARASIMHA RAO,SATYANARAYANA BOOK DEPO,RAJAHAMANDRY,894,92,,,,https://manjulindia.com/telugu.html
TEL,దీక్షితులు,DEEKSHITULU,మునిమాణిక్యం నరసింహరావు MUNIMANIKYAM NARASIMHA RAO,SATYANARAYANA BOOK DEPO,RAJAHAMANDRY,894,94,,,,https://manjulindia.com/telugu.html
TEL,జీవన ప్రభాతము,JEEVANA PRABHATAMU,RAMESHCHANDRA DATTA,SATYANARAYANA BOOK DEPO,RAJAMUNDRY,891,271,,,,https://manjulindia.com/telugu.html
TEL,మహా భారతము,MAHABHARATAMU,మంత్రి లక్ష్మినారాయణ శాస్త్రి LAKSHMINARAYANASASTRY MANTRY,SATYANARAYANA BOOK DEPO,RAJAMUNDRY,894,358,,,,https://manjulindia.com/telugu.html
TEL,ఖండకావ్యము విభాగం,KHANDAKAVYAMU VIBHAGAM,JASHUVAJI,SATYANARAYANA BOOKDEPOT,RAJAMUNDRY,894,80,2000,,,https://manjulindia.com/telugu.html
TEL,ఒకే బీర్మ,OKAE BEERMA,KOVVALI,SATYANARAYANA PUBLICATIONS HOUSE,RAJAHAMANDRY,894,56,1954,,,https://manjulindia.com/telugu.html
TEL,మౌలానా ఆజాద్ జీవిత చరిత్ర,MOULANA AJAD JEEVITA CHARITRA,మల్లాది లక్ష్మినరసింహశాస్త్రి LAKSHMINARASIMHASASTRY MALLADI,SATYANARAYANA PUBLISHING HOUSE,RAJAMUNDRY,923,661,,,,https://manjulindia.com/telugu.html
TEL,జవాహరలాల్ నెహ్రూ జీవితము,జవహర్లాల్ నెహ్రు JAWAHARLAL నెహ్రు NEHRU JIVITHAMU,కోటముర్తి చినరఘుపతి CHINARAGHUPATHI KOTAMURTHI,SATYANRAYANA PUBLISHING HOUSE,RAJAHMUNDRY,923,68,1979,,,https://manjulindia.com/telugu.html
TEL,కలవారి కష్టాలు (నవల),KALAVAARI KASHTAALU (NAVALA),MALAYASRI,SATYARDI PUBLICATIONS,KARIMNAGAR,894,173,,,,https://manjulindia.com/telugu.html
TEL,తెలుగు పర్యాయపడనిగంతువు,TELUGU PARYAYAPADANIGANTUVU,REDDY GS,SATYASRI PRACHURANALU,TURUPATI,894,558,,,,https://manjulindia.com/telugu.html
TEL,నన్నెచోడ దేవకుమార సంబావ పరిశీలనము,NANNECHODA DEVAKUMARA SAMBAVA PARISEELANAMU,NIRMALA TAMMAREDDY,SATYASURYA PRACHURANALU,VIJAYAWADA,894,432,,,,https://manjulindia.com/telugu.html
TEL,,Warrior Shadow,,Satyavani Publication,,222,Rs.120,1863,,,https://manjulindia.com/telugu.html
TEL,రత్నమణిక్యాలు నాటికలు,RATNAMANIKYALU NATIKALU,PRASADARAO VD,SATYAVATEYA PRACHARANALU,మద్రాస్,894,125,,,,https://manjulindia.com/telugu.html
TEL,మహేంద్ర విజయము,MAHENDRA VIJAYAMU,సత్యవోలు సోమసుందరకవి SOMASUNDARAKAVI SATYAVOLU,SATYAVOLU రాధా RADHAMADHAVARAO SAKALANANDA GRANDHAMALIKA,PITAPURAM,894,113,,,,https://manjulindia.com/telugu.html
TEL,మనసున్న మనుషులు,MANASUNNA MANUSHULU,శారద అశోక వర్ధన్ SARADA ASHOKA VARDAN,SAUBHAGYA PUBLISHERS,HYDERABAD,894,48,1940,,,https://manjulindia.com/telugu.html
TEL,విజయపధం,VIJAYAPADHAM,KUMAR ANNAVARAPUNAYUDU BITTANEDI,SAUPADYAPRACHURANALU,HYDERABAD,,125,,,,https://manjulindia.com/telugu.html
TEL,ఆచారాలు అలవాట్లు,ACHARALU ALAVATLU,SEETHAMRAJU,SAVITRI PUBLICATIONS,VIJAYAWADA,894,42,1933,,,https://manjulindia.com/telugu.html
TEL,సూక్తి సుధా మంధారం,SOOKTHI SUDHA MANDHARAM,JAYASRI MALLIK,SAVITRI PUBLICATIONS,VIJAYAWADA,894,44,1935,,,https://manjulindia.com/telugu.html
TEL,మతంకన్న మనిషిమిన్న,MATHAMKANNA MANISHIMINNA,JAYASRI MALLIK,SAVITRI PUBLICATIONS,VIJAYAWADA,894,46,1937,,,https://manjulindia.com/telugu.html
TEL,బాలవినోధం,BALAVINODHAM,RAMESHBABU GUMMANURU DR,SAVITRI PUBLICATIONS,VIJAYAWADA,894,64,1973,,,https://manjulindia.com/telugu.html
TEL,జానపద గేయాలు,JANAPADA GAYALU,ERANNA SAVVAPPAGARI,SAVVAPPAGARI ERANNA,SATHIKONDA,784,55,1952,,,https://manjulindia.com/telugu.html
TEL,శ్రీ పరబ్రహ్మానందగిరి స్వామి జీవిత చరిత్రము,SRI PARABRAHAMANANDA GIRI SWAMY JEEVITA CHARITRA,NARAYANACHARNAM S,SAYAM SAVITRAMMA SRI BHAKTA MANDIRAM,TADEPALLI,894,92,,,,https://manjulindia.com/telugu.html
TEL,విజయ రహస్యాలు,VIJAYA RAHASYALU,ANNAVARAPU,SAYI VIDYA PUBLICATIONS,HYDERABAD,920,726,,,,https://manjulindia.com/telugu.html
TEL,కాలము కట్టిన గంటలు,KALAMU KATTINA GANTALU,పిల్లలమఱ్ఱి వెంకటహనుమంతరావు VENKATA HANUMANTARAO PILLALAMARRI,SAరాధా RADHA PEETAMU,GUNTUR,894,36,1922,,,https://manjulindia.com/telugu.html
TEL,సాహిత్య సంపద ప్రధమ,SAHITYA SAMPADA Pరాధా RADHAMA,HANUMANTHARAO PILLAMARRI,SAరాధా RADHA PEETAMU,GUNTUR,894,148,,,,https://manjulindia.com/telugu.html
TEL,చకోర సందేశం,CHAKORA SANDESAM,VENKATARAO MOTURI,SAరాధా RADHA PUBLICATIONS,VISAKHAPATANAM,8943,61,1959,,,https://manjulindia.com/telugu.html
TEL,(సైన్స్ యూనివర్స్ ) ప్రజారాజ్యం,(SCIENCE UNIVERSE) PRAJARAJYAM,GURUVISWA SPURTHI,SCIENCE UNIVERSE,HYDEARABAD,302,274,,,,https://manjulindia.com/telugu.html
TEL,నవయుగాలబాట,NAVAYUGALA BAATA,VENKATASWAR RAO NARLA,SCIENTIFIC SERVICES,HYDERABAD,894,158,,,,https://manjulindia.com/telugu.html
TEL,రాజనీతి సిద్ధాంతము,RAJANEETHI SIDHANTAMU,SATYANARAYANA V DR,SCIENTIFIC SERVICES,HYDEABAD,320,286,,,,https://manjulindia.com/telugu.html
TEL,రాజనీతి సిద్దాంతము సంస్థలు,RAJANITI SIDDANTAMU SAMSTALU,SATYANRAYANA V,SCIENTIFIC SERVICES,HYDERABAD,320,286,,,,https://manjulindia.com/telugu.html
TEL,బారత ప్రభత్వము రాజాతీమాల,BARATHA PRABHATWAMU RAJATEEMAALA,SWAMI P,SCIENTIFIC SERVICES,HYDEABAD,320,432,,,,https://manjulindia.com/telugu.html
TEL,భారత ప్రభుత్వము రాజకీయాలు,BHARATA PRABHUTVAMU RAJAKEEYALU,SWAMI P,SCIENTIFIC SERVICES,HYDERABAD,320,432,,,,https://manjulindia.com/telugu.html
TEL,రాజనీతితత్త్వ శాస్త్రము,RAJANEETHI TATVA SASTRAMU,SUBASH CHANDRA REDDY K,SCIENTIFIC SERVICES,HYDEABAD,320,462,,,,https://manjulindia.com/telugu.html
TEL,భారతీయ సాక్ష్యాధారములు చట్టము,BHARATIYA SAKSHYADHARAMULU CHATTAMU,SATYANARAYANA PENKAYLA,SEDHALA HOUSE,HYDEARABAD,345,153,,,,https://manjulindia.com/telugu.html
TEL,పళ్ళు,PALLU,RANJITSINGH,SEEGAL BOOK TRUST,NEWDEHI,634,178,,,,https://manjulindia.com/telugu.html
TEL,శిల్ప శీక,SILPA SEEKA,VEERRAJU SEELA,SEELAA VEERRAJU,HYDEABAD,741,76,1993,,,https://manjulindia.com/telugu.html
TEL,ప్రసుగా కుసురుడు 2వ బాగం,PRASUGA KUSURUDU 2VA BAAGAM,SYAMALABABU B,SEELASILPA PUBLICATIONS,HYDEARABAD,220,92,,,,https://manjulindia.com/telugu.html
TEL,శీలవీర్రాజు కథలు,SEELAVEERAJU KATHALU,VEERAJU SEELA,SEELAVEERAJU,HYDERABAD,894,592,,,,https://manjulindia.com/telugu.html
TEL,యుద్ధం ఒక గుండెకోత,YUDDHAM OKA GUNDE KOTHA,సుభద్రాదేవి SUBHADRADEVI SEELA,SEELS SUBBARAO,HYDERABAD,894,60,1958,,,https://manjulindia.com/telugu.html
TEL,శ్రీ చల్లావంశ రస మురళి,SRI CHALLA VAMSA RASA MURALI,BOTHSA KAVI,SEETA RAMANJANEYA PUBLICATIONS,RAJAHMUNDRY,928,80,1998,,,https://manjulindia.com/telugu.html
TEL,రామగీత,RAAMAGEETA,నరసింహమూర్తి NARASIMHAMURTHI CHAARAALA,SEETARAAMA SANKEERTA SANGAM,GUNTUR,294,102,,,,https://manjulindia.com/telugu.html
TEL,సమీక్ష,SAMEEKSHA,దేవరకొండ చిన్నకృష్ణశర్మ CHINNAKRISHNASARMA DEVARAKONDA,SEETHARAM AND CO,VIJAYA VADA,894,105,,,,https://manjulindia.com/telugu.html
TEL,తెజూమూర్తులు (రెండవ భాగం ),TEJOOMURTHULU (RENDAVA BHAGAM),దాసిక సూర్యప్రకాశరావు SURYAPRAKASARAO DASIKA,SEGODHA GRANDHAMALA,KRISHNA DIST,920,72,1985,,,https://manjulindia.com/telugu.html
TEL,నిరుద్యోగులకు శిక్షణా ఉపాధి పధకలు సేవా సంస్థలకు ప్రభాత గంట్లు,NIRODYOGULAKU SIKSHANA UPATHI PADHAKAMU SEVA SAMSTALAKU PRABHATYA GANTLU,JAYAPRAKASH A,SELF EMPLOYEEMENT,NELLORE,362,191,,,,https://manjulindia.com/telugu.html
